Episode 256:	Step: 72	Reward: -61.0
Episode 257:	Step: 62	Reward: -51.0
Episode 258:	Step: 60	Reward: -49.0
Episode 259:	Step: 96	Reward: -85.0
Episode 260:	Step: 40	Reward: -29.0
Test after Episode 260:	Average Step: 10000.0	Average Reward: -10000.0
Episode 261:	Step: 80	Reward: -69.0
Episode 262:	Step: 74	Reward: -63.0
Episode 263:	Step: 4	Reward: 7.0
Episode 264:	Step: 85	Reward: -74.0
Episode 265:	Step: 33	Reward: -22.0
Episode 266:	Step: 73	Reward: -62.0
Episode 267:	Step: 38	Reward: -27.0
Episode 268:	Step: 13	Reward: -2.0
Episode 269:	Step: 79	Reward: -68.0
Episode 270:	Step: 55	Reward: -44.0
Episode 271:	Step: 18	Reward: -7.0
Episode 272:	Step: 131	Reward: -120.0
Episode 273:	Step: 77	Reward: -66.0
Episode 274:	Step: 77	Reward: -66.0
Episode 275:	Step: 74	Reward: -63.0
Episode 276:	Step: 24	Reward: -13.0
Episode 277:	Step: 56	Reward: -45.0
Episode 278:	Step: 18	Reward: -7.0
Episode 279:	Step: 62	Reward: -51.0
Episode 280:	Step: 8	Reward: 3.0
Test after Episode 280:	Average Step: 10000.0	Average Reward: -10000.0
Episode 281:	Step: 73	Reward: -71.0
Episode 282:	Step: 9	Reward: 2.0
Episode 283:	Step: 120	Reward: -109.0
Episode 284:	Step: 69	Reward: -58.0
Episode 285:	Step: 98	Reward: -87.0
Episode 286:	Step: 58	Reward: -47.0
Episode 287:	Step: 102	Reward: -91.0
Episode 288:	Step: 83	Reward: -72.0
Episode 289:	Step: 77	Reward: -66.0
Episode 290:	Step: 80	Reward: -69.0
Episode 291:	Step: 31	Reward: -20.0
Episode 292:	Step: 26	Reward: -15.0
Episode 293:	Step: 22	Reward: -11.0
Episode 294:	Step: 15	Reward: -4.0
Episode 295:	Step: 40	Reward: -29.0
Episode 296:	Step: 75	Reward: -64.0
Episode 297:	Step: 111	Reward: -109.0
Episode 298:	Step: 55	Reward: -44.0
Episode 299:	Step: 32	Reward: -21.0
Episode 300:	Step: 15	Reward: -4.0
Test after Episode 300:	Average Step: 10000.0	Average Reward: -10000.0
Episode 301:	Step: 77	Reward: -66.0
Episode 302:	Step: 105	Reward: -94.0
Episode 303:	Step: 48	Reward: -37.0
Episode 304:	Step: 198	Reward: -187.0
Episode 305:	Step: 55	Reward: -44.0
Episode 306:	Step: 106	Reward: -95.0
Episode 307:	Step: 103	Reward: -92.0
Episode 308:	Step: 90	Reward: -79.0
Episode 309:	Step: 60	Reward: -49.0
Episode 310:	Step: 60	Reward: -49.0
Episode 311:	Step: 61	Reward: -50.0
Episode 312:	Step: 81	Reward: -70.0
Episode 313:	Step: 21	Reward: -10.0
Episode 314:	Step: 116	Reward: -105.0
